time	val0	val1	val2	val3	val4	val5	val6	val7
769	353	21	3836	356	11	13	13	14	
770	353	30	3836	356	13	13	13	15	
771	353	25	3835	356	10	11	10	11	
772	354	18	3839	356	8	9	8	8	
773	353	8	3837	356	5	6	5	5	
774	353	3	3836	356	5	5	5	5	
775	353	1	3836	356	4	5	4	5	
776	354	0	3840	356	4	4	2	2	
778	353	0	3832	356	0	0	0	0	
779	353	0	3836	356	0	1	0	0	
780	353	0	3835	357	5	5	5	5	
781	353	3	3836	356	6	7	7	7	
782	355	10	3839	356	7	6	7	8	
783	349	13	3837	357	8	8	7	8	
784	353	13	3835	356	8	9	9	9	
785	353	18	3836	356	11	11	13	14	
786	353	31	3835	356	13	13	14	15	
787	353	27	3832	356	11	11	10	11	
789	353	18	3836	356	9	9	8	9	
790	353	10	3835	357	6	5	6	5	
791	353	4	3835	356	5	6	5	5	
792	353	2	3839	356	4	5	4	4	
793	353	0	3836	356	4	5	5	3	
794	353	0	3835	356	0	0	0	0	
795	353	0	3836	356	0	0	0	0	
796	353	0	3836	356	5	5	5	4	
797	353	2	3832	356	6	6	7	6	
798	353	8	3835	356	8	8	8	8	
800	353	10	3836	356	8	7	8	8	
801	354	12	3841	356	8	8	8	9	
802	354	14	3840	357	10	10	11	12	
803	353	30	3833	356	13	13	15	15	
804	353	28	3836	356	12	11	11	13	
805	353	20	3836	356	9	9	9	9	
806	353	10	3835	356	6	6	6	5	
807	353	5	3839	356	5	5	5	4	
808	353	2	3835	356	4	5	5	4	
809	353	1	3834	356	4	5	4	4	
811	353	0	3836	357	0	0	0	0	
812	353	0	3835	356	0	0	0	0	
813	353	0	3839	356	4	4	4	3	
814	353	2	3836	356	6	6	6	5	
815	353	8	3836	357	7	8	8	7	
816	353	10	3835	356	7	8	8	8	
817	354	13	3840	356	9	8	9	9	
818	355	13	3839	356	8	8	10	10	
819	355	29	3839	359	14	14	14	14	
820	353	30	3835	357	12	12	12	13	
821	353	21	3836	356	9	9	10	10	
823	353	13	3838	356	6	5	5	6	
824	353	5	3835	356	5	5	5	5	
825	353	2	3837	356	5	5	5	4	
826	353	0	3835	356	4	4	3	2	
827	353	0	3836	356	0	0	0	0	
829	353	0	3835	356	0	1	0	0	
830	354	0	3840	356	5	5	5	4	
831	353	3	3832	356	6	6	7	7	
832	353	10	3836	356	8	8	8	8	
833	353	10	3836	356	8	8	9	8	
834	353	13	3836	356	8	8	9	9	
835	353	14	3839	356	9	10	11	13	
836	353	30	3837	356	14	13	13	15	
837	353	28	3840	357	11	11	11	12	
838	353	19	3838	356	9	9	9	9	
839	354	10	3838	356	5	6	6	5	
841	353	5	3836	356	5	5	5	5	
842	353	4	3835	357	4	5	5	5	
843	353	1	3836	356	5	4	4	4	
844	353	0	3838	356	0	0	0	0	
845	353	0	3836	356	0	0	0	0	
846	353	0	3836	357	4	5	5	3	
847	353	1	3835	356	6	6	7	6	
848	353	7	3836	356	8	7	8	8	
849	353	10	3832	356	8	8	9	8	
850	353	13	3836	356	8	8	9	9	
852	353	13	3835	357	8	9	10	9	
853	353	29	3835	356	13	13	14	15	
854	353	29	3837	356	11	10	10	13	
855	355	20	3839	357	8	9	9	10	
856	351	13	3815	357	5	5	5	5	
857	353	5	3835	356	5	5	5	4	
858	353	3	3837	356	4	4	5	4	
859	353	1	3834	356	5	5	5	4	
860	353	0	3836	356	0	0	0	0	
861	353	0	3836	356	0	0	0	0	
862	353	0	3835	356	3	3	4	2	
864	353	0	3833	356	5	6	7	5	
865	353	6	3836	356	7	8	8	7	
866	353	11	3836	357	7	6	8	7	
867	353	13	3836	356	9	8	9	8	
868	354	13	3839	356	8	8	9	9	
869	353	27	3834	356	13	13	15	15	
870	353	29	3836	356	13	13	13	14	
871	353	21	3835	356	9	10	10	11	
872	354	13	3835	356	6	6	6	6	
873	355	5	3835	357	6	5	5	4	
875	353	4	3835	356	5	5	5	4	
876	353	2	3835	357	5	4	4	3	
877	353	0	3834	356	2	1	1	0	
878	353	0	3839	356	0	0	0	0	
879	353	0	3832	356	2	3	3	2	
880	353	0	3836	356	5	6	6	5	
881	353	8	3836	356	6	7	7	8	
882	354	9	3836	356	8	8	8	8	
883	353	13	3832	356	9	8	9	9	
884	353	13	3836	356	8	9	9	9	
886	353	25	3835	357	13	13	13	14	
887	353	30	3836	356	12	13	13	15	
888	353	23	3835	356	10	10	10	11	
889	353	16	3836	356	8	8	7	8	
890	353	6	3840	357	6	5	6	4	
891	355	2	3843	356	4	5	4	4	
892	354	1	3840	356	4	5	4	4	
893	353	1	3833	356	4	3	3	0	
894	353	0	3836	356	0	0	0	0	
895	353	0	3835	356	1	2	2	0	
897	353	0	3835	356	5	5	6	4	
898	353	5	3837	356	7	7	7	7	
899	353	9	3836	356	8	7	8	8	
900	353	12	3837	357	8	8	9	8	
901	353	14	3835	356	8	9	9	9	
902	354	20	3839	356	11	13	13	13	
903	353	30	3834	356	13	13	14	14	
904	353	26	3835	356	10	10	10	11	
905	353	17	3837	356	8	8	8	8	
906	353	8	3836	356	6	6	6	5	
907	353	4	3833	356	5	5	5	5	
909	353	1	3842	357	4	4	4	3	
910	355	1	3843	357	3	4	2	2	
911	353	0	3836	356	0	0	0	0	
912	354	0	3839	356	0	0	0	0	
913	353	0	3834	356	4	5	5	4	
914	353	3	3836	356	6	7	7	7	
915	353	9	3836	356	8	7	7	8	
916	354	10	3839	356	7	8	8	8	
917	353	13	3833	356	8	9	9	8	
918	353	15	3838	356	10	11	12	13	
920	353	31	3835	357	13	13	14	14	
921	353	28	3836	356	10	10	11	12	
922	353	19	3839	356	8	8	8	9	
923	353	9	3836	356	5	5	6	6	
924	353	6	3835	357	5	5	5	5	
925	353	2	3836	356	5	5	5	4	
926	353	0	3833	360	4	5	4	1	
927	354	0	3839	356	0	0	0	0	
928	353	0	3838	356	0	0	0	0	
929	353	0	3835	356	4	5	5	5	
931	353	4	3836	357	5	5	6	5	
932	353	10	3836	356	7	6	8	7	
933	354	10	3838	356	8	8	8	8	
934	353	13	3832	356	9	9	10	9	
935	353	14	3836	356	9	10	10	12	
936	353	31	3835	356	14	13	14	16	
937	353	29	3835	356	11	11	12	12	
938	353	18	3835	356	9	9	9	9	
939	353	11	3836	356	6	6	6	6	
940	353	6	3836	357	5	5	5	5	
942	353	4	3836	356	4	5	5	4	
943	354	1	3840	356	4	5	4	4	
944	353	0	3832	356	0	0	0	0	
945	355	0	3839	357	0	0	0	0	
946	350	0	3815	356	2	4	4	3	
947	353	2	3835	356	5	6	7	5	
948	353	6	3833	356	8	8	8	7	
949	353	10	3837	356	7	8	9	8	
950	353	13	3836	357	8	8	8	9	
951	353	13	3835	356	8	9	10	10	
952	354	27	3838	356	13	13	14	15	
954	353	29	3832	356	13	12	13	13	
955	353	21	3836	356	9	10	9	10	
956	353	13	3836	356	6	7	6	6	
957	353	6	3835	356	6	5	5	5	
958	353	2	3834	356	5	5	5	4	
959	353	1	3836	356	5	5	5	4	
960	353	0	3835	356	1	0	0	0	
961	353	0	3837	356	0	0	0	0	
962	354	0	3840	356	2	3	3	2	
963	355	0	3832	357	5	5	7	5	
965	353	7	3835	356	7	7	8	7	
966	353	10	3836	356	8	9	8	6	
967	353	13	3835	356	8	8	9	8	
968	353	13	3835	356	9	9	8	9	
969	353	26	3836	356	13	13	14	16	
970	353	29	3835	357	13	13	13	14	
971	353	22	3836	356	9	9	10	10	
972	354	13	3840	356	7	7	6	7	
973	353	6	3836	356	5	6	5	5	
974	353	3	3837	357	5	5	5	4	
976	353	1	3836	356	5	5	5	4	
977	354	0	3836	356	2	2	1	0	
978	354	0	3832	356	0	0	0	0	
979	353	0	3834	356	1	3	2	1	
980	353	0	3840	357	6	5	6	5	
981	354	6	3840	356	6	6	7	7	
982	354	9	3839	356	7	8	8	8	
983	353	12	3836	356	8	9	8	8	
984	353	14	3835	356	8	8	9	10	
985	353	23	3836	356	12	13	13	14	
987	353	30	3834	356	13	12	14	15	
988	353	24	3833	356	10	10	10	10	
989	353	16	3834	356	7	8	8	8	
990	353	7	3835	357	5	5	5	5	
991	353	5	3833	356	5	4	5	5	
992	353	2	3839	356	4	4	4	4	
993	353	2	3836	356	3	3	2	0	
994	353	0	3836	356	0	0	0	0	
995	353	0	3836	356	0	1	1	0	
996	354	0	3840	357	5	5	5	4	
997	353	4	3833	356	6	7	8	7	
999	353	9	3840	356	8	8	8	8	
1000	353	11	3840	357	8	7	7	8	
